label,area,centroid-0,centroid-1,major_axis_length,minor_axis_length,orientation,perimeter,max_intensity-0,max_intensity-1,max_intensity-2,mean_intensity-0,mean_intensity-1,mean_intensity-2,min_intensity-0,min_intensity-1,min_intensity-2,area_um2,diameter_um
1,114994.0,550.8710367497434,2989.9782684313964,414.40655262197953,365.78258166113176,-1.059693988096328,1347.7442994522837,255.0,255.0,255.0,252.79574586500166,244.0396455467242,246.7249247786841,206.0,33.0,86.0,4026259.5847484334,2264.1539083442804
2,82391.0,2704.3313954194027,3711.147346190725,418.67329956708505,262.4320305897928,-0.6138878201829773,1230.3645737753168,255.0,255.0,255.0,252.31996213178624,241.6712869124055,244.94409583571021,206.0,34.0,86.0,2884737.929344211,1916.497432254601
3,75991.0,626.3591741127238,1331.5781079338342,365.05146605317503,270.0844498822968,0.7743278203692708,1110.638743755012,255.0,255.0,255.0,252.48145175086523,242.47345080338462,245.5525654353805,206.0,34.0,87.0,2660656.139490914,1840.5576904140296
4,117205.0,2760.6989804189243,941.9966469007295,542.1542676295496,284.433027894278,1.440376047523372,1442.8986283848344,255.0,255.0,255.0,252.79559745744635,244.0159890789642,246.71520839554626,206.0,34.0,87.0,4103672.840586814,2285.816821027181
5,79663.0,1626.0454916335061,3076.749444535104,343.046910628901,298.9492602554332,0.40359788975772404,1100.5483399593904,255.0,255.0,255.0,252.46803409361937,242.40553330906442,245.50064647326863,206.0,34.0,87.0,2789223.066419243,1884.5023500257175
6,106949.0,2323.9257964076337,3748.916016045031,468.96971131213047,305.9570763243295,1.503693809131219,1382.8397538817887,255.0,255.0,255.0,252.58935567419985,242.98444118224575,245.93614713555058,206.0,33.0,87.0,3744581.772346907,2183.517710266295
7,75122.0,2300.599717792391,1016.9749074838263,389.26407837084315,252.60909867222222,-1.088399848545662,1125.9453095790604,255.0,255.0,255.0,252.24006283112803,241.30278746572242,244.66462554245095,206.0,34.0,87.0,2630230.0339623964,1830.003522125308
8,78978.0,2019.1987009040492,3082.6087138190383,393.4871214573314,263.0066157307008,-1.0848762996349754,1177.7026688919411,255.0,255.0,255.0,252.30394540251714,241.5979893134797,244.88939957962978,206.0,34.0,86.0,2765239.3123490075,1876.382701673362
9,94153.0,1940.979065988338,4687.074527630559,455.626107627838,266.0852792532545,-0.11589279300018157,1248.732106143464,255.0,255.0,255.0,252.53380136586196,242.77135088632332,245.77004450203393,206.0,34.0,87.0,3296558.2437589723,2048.733344648986
10,78522.0,2511.6953337918035,2222.1624003464,415.2952653000615,250.41682250384068,-0.009697693633955366,1214.940258945177,255.0,255.0,255.0,252.04394946639158,240.28586892845317,243.89706069636534,206.0,34.0,87.0,2749273.48482196,1870.9579685730962
