label,area,centroid-0,centroid-1,major_axis_length,minor_axis_length,orientation,perimeter,max_intensity-0,max_intensity-1,max_intensity-2,mean_intensity-0,mean_intensity-1,mean_intensity-2,min_intensity-0,min_intensity-1,min_intensity-2,area_um2,diameter_um
1,116636.0,3042.891199972564,2211.766727254021,417.5566240551793,369.2048438469628,1.1724474604248034,1547.445742854949,97.0,239.0,233.0,46.97541925306081,45.46941767550327,41.04308275318083,2.0,3.0,2.0,2024930.555555556,1605.6841715218707
2,31568.0,1123.6572161682716,2930.01558540294,222.87385640872722,193.17185562655567,-1.010117456654563,735.58787847868,208.0,220.0,102.0,43.5886974151039,44.91976051697922,43.16862012164217,6.0,29.0,7.0,548055.5555555556,835.3478353626903
3,28495.0,3115.844885067556,2495.039129671872,252.48520704359592,147.8642065039456,-0.8655141510236877,691.3868683519033,209.0,244.0,249.0,50.757150377259165,40.91430075451834,44.4787857518863,0.0,1.0,2.0,494704.8611111112,793.6484058696162
4,34241.0,248.4625449023101,381.79977220291465,227.58532796027362,193.5609206777345,0.5835280662980935,706.3158005400378,118.0,109.0,99.0,55.987441955550366,52.60646593265383,50.578166525510355,28.0,29.0,28.0,594461.8055555556,869.9955624415555
5,59163.0,2106.926017950408,3462.8429930868956,295.44884001033137,258.5635084115717,-0.6524603754952285,944.8670990922585,208.0,126.0,249.0,92.35625306357014,86.04751280361036,84.69436979193077,2.0,2.0,39.0,1027135.4166666669,1143.5862146327354
6,23870.0,202.71403435274402,3107.918684541265,181.2334828803673,174.02348769664903,1.4341708094728591,696.4335495461293,102.0,103.0,240.0,37.294386258902385,38.80251361541684,45.70699622957687,3.0,3.0,27.0,414409.7222222223,726.3902849405736
7,4169.0,1572.0359798512832,512.4125689613817,90.26809526932703,66.46090266793937,-0.9198652756413156,291.1543289325507,90.0,100.0,98.0,44.595106740225475,42.99640201487167,43.8409690573279,31.0,31.0,28.0,72378.47222222223,303.5706392602039
8,16678.0,44.1416236958868,1618.2276651876723,214.14899911818918,103.27681001916407,1.5672092398026225,538.8700576850888,81.0,129.0,68.0,54.41305911979854,48.65769276891714,40.33019546708238,29.0,31.0,22.0,289548.6111111112,607.1776855170239
9,28139.0,2327.107288816234,502.3827428124667,222.54042618574584,163.13631189967518,-0.1033891241140598,651.6711395993652,208.0,254.0,103.0,37.29713209424642,40.197057464728665,36.87590177333949,0.0,28.0,0.0,488524.3055555556,788.6751323565471
10,32468.0,2820.9010410250094,150.23715658494518,354.9776628866501,122.81155670099817,1.4987715266626929,866.776695296637,121.0,109.0,235.0,49.35142293950967,43.148361463594924,39.76010225452753,3.0,3.0,26.0,563680.5555555556,847.1719860403903
11,16715.0,2759.13772061023,1316.9198324857912,180.58381155554952,119.6792132599035,-0.3267215941363493,508.2914139223983,117.0,109.0,109.0,77.9746933891714,73.09189350882441,69.51779838468441,38.0,35.0,38.0,290190.97222222225,607.8508216318182
