label,area,area_um2,diameter_um,centroid-0,centroid-1,major_axis_length,minor_axis_length,orientation,perimeter,max_intensity-0,max_intensity-1,max_intensity-2,mean_intensity-0,mean_intensity-1,mean_intensity-2,min_intensity-0,min_intensity-1,min_intensity-2
1,472.0,126847.62160709484,401.87984272137317,265.41525423728814,833.6440677966102,28.141949664272225,21.69254991816182,-0.04416887355196721,80.87005768508881,234.0,234.0,222.0,200.1927966101695,186.77966101694915,169.20550847457628,137.0,138.0,116.0
2,1165.0,313087.8796022574,631.3761709843631,387.331330472103,590.7811158798283,65.710417686724,27.155930745261045,0.2073235396007177,173.78174593052023,255.0,237.0,254.0,237.28669527896994,196.44463519313305,218.90557939914163,93.0,46.0,48.0
3,2445.0,657081.4297231926,914.6704654872636,518.3885480572598,425.8126789366053,159.79832736969186,20.29712425919503,1.5669022483368507,309.45584412271575,253.0,251.0,250.0,192.32310838445807,169.520245398773,174.69366053169733,38.0,29.0,28.0
4,2722.0,731523.7839290512,965.0932647225183,487.6880969875092,673.2714915503307,160.27344942470307,22.637449141288315,-1.5690581383505207,319.3553390593273,249.0,252.0,248.0,190.6385011021308,191.56135194709773,177.38978692138133,27.0,31.0,30.0
5,756.0,203171.19054017734,508.611437294401,495.31613756613757,769.4854497354497,36.60621595998716,27.295976059556132,1.5274146982454868,106.48528137423858,173.0,173.0,201.0,120.64682539682539,81.86243386243386,153.7275132275132,31.0,27.0,46.0
6,1087.0,292125.7726417629,609.8738277412845,541.2051517939283,385.3716651333947,49.58765119721893,28.126456876270172,1.4675286272507029,129.25483399593904,232.0,218.0,226.0,176.96136154553818,131.54185832566696,153.23827046918123,106.0,73.0,88.0
7,1712.0,460091.3732867508,765.3799910241961,331.93457943925233,533.4211448598131,88.15194415686064,49.25028058930498,-1.2248018912795022,268.1076477383248,187.0,189.0,192.0,72.06834112149532,59.50876168224299,50.759929906542055,32.0,27.0,22.0
8,997.0,267938.7261488847,584.0806294500147,534.8585757271816,329.94984954864594,48.74879706822331,26.369889262310842,1.4039600277790505,126.08326112068522,235.0,237.0,234.0,200.18856569709126,217.01203610832496,141.00200601805417,136.0,138.0,45.0
9,825.0,221714.592851384,531.3151487236536,388.4206060606061,1071.1139393939393,42.04460673406901,26.094758374849096,-0.04973576088680868,117.79898987322332,130.0,99.0,112.0,68.80121212121212,57.442424242424245,51.67636363636364,16.0,37.0,20.0
10,2317.0,622682.074711099,890.4063349504574,463.2749244712991,926.1985325852395,151.39409479891467,20.927999811230904,1.5450554751483623,310.8700576850888,239.0,239.0,236.0,178.2313336210617,189.63746223564954,194.7742770824342,40.0,60.0,60.0
